,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y,cell_type,layer
58,150,0.0,0.0,0.0,0.060830514905838996,probeC,767871931,6.11982836919415,4.527726995734309,1.445453058554138,2.21969228668859,0.99,0.0493955194971435,0.176124976685169,4,4,FS,L23
59,162,0.0,0.0,0.0,0.0,probeC,767871931,10.528046603401298,9.638431850497664,10.565914295060518,7.1139673159882,0.99,0.0493128673570225,0.337717160652424,4,5,FS,L23
60,165,0.017442900170852947,0.01386042017492677,0.0,0.0235780917480638,probeC,767871931,2.5775940367690815,2.000812512695511,1.091756624141315,1.06520265646631,0.99,0.00242775663491244,0.0665034494793212,5,4,RS,L23
61,166,0.0,0.0,0.02879847328830205,0.08054103229629758,probeC,767871931,19.682733565097564,16.65244769449523,5.863591756624142,6.1916036851811,0.99,0.0420947271455988,0.297220870111737,4,4,RS,L23
62,172,0.0,0.020135454088397186,0.03222602009076623,0.05214889764733934,probeC,767871931,5.905289861881049,13.164736949014829,12.236261040235524,8.39871325290746,0.99,0.0892330881585299,0.186671740808559,4,5,FS,L23
63,174,0.0,0.01827142891543305,0.0,0.061697427535326435,probeC,767871931,11.636756553603309,6.240097501523462,2.680323846908734,5.61390589218732,0.99,0.0789804534667759,0.377102104355228,3,3,FS,L23
64,176,0.0,0.0,0.0,0.0,probeC,767871931,2.8093582636474683,2.732073938655292,2.316404972194962,1.5871338390195,0.99,0.0428543142926563,0.299558433979924,5,5,RS,L23
65,177,0.0,0.0,0.0,0.01577398498703946,probeC,767871931,4.185849854364371,3.3577087141986595,1.7459928034020282,2.46198512302524,0.99,0.0583362794013305,0.267655557518143,5,5,RS,L23
66,180,0.0,0.0,0.0,0.012412369912311516,probeC,767871931,26.840803031726647,22.00284379443429,15.495175008177952,12.0092489628048,0.99,0.00932774198114639,0.0449984185219301,5,5,FS,L23
0,2,0.0,0.0,0.0,0.0,probeD,767871931,2.377149300009396,2.0637822465976035,2.383873078181223,1.86929072986113,0.99,0.0599738335902198,0.0971779936277225,1,2,RS,L56
1,3,0.014529406064451878,0.0,0.0,0.012794701079278293,probeD,767871931,2.305114472736384,2.327848872638635,1.559944389924763,1.62337380724127,0.96,0.00418372717705916,0.157483384430461,4,1,RS,L56
