unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
172.0,0.03222602009076623,0.20914946081400182,[0.35983137],['FS'],0.27165648179260593,['L23'],[0.10719973],0.3333333333333333,[4.45450932],0.10760565743154667,[0.],[2.],0.0,[600.],[4],[5],[0.08663968],[0.72264997],767871931.0,0.02164186259180323,[8.39871325],[0.23350084],1,multi-source1,2
174.0,0.0,0.011252805397720288,[1.04438039],['FS'],0.022239436756556662,['L23'],[0.06816063],0.0,[3.61970484],0.0,[0.],[2.],0.0,[700.],[3],[3],[-0.18173133],[0.16004671],767871931.0,0.005513380213851215,[5.61390589],[0.24723618],9,unexplained,0
176.0,0.0,0.041454354331665846,[0.10740392],['RS'],0.0698159720584994,['L23'],[0.05213658],0.3333333333333333,[1.35784486],0.02568199931214754,[0.],[2.],0.0,[500.],[5],[5],[-0.36193783],[0.16631741],767871931.0,0.02713080051675316,[1.58713384],[0.78291457],4,unexplained,0
177.0,0.0,0.04265436109775338,[0.11168235],['RS'],0.06032060017454473,['L23'],[0.17808369],0.0,[6.68401658],0.032455222986898666,[0.],[2.],0.0,[500.],[5],[5],[-0.45281551],[1.71457943e-05],767871931.0,0.04967478384042556,[2.46198512],[0.68676717],4,unexplained,0
180.0,0.0,0.02907186672086941,[0.43256471],['FS'],0.031015873648475002,['L23'],[0.26060383],0.0,[3.67975046],0.051206116038105834,[45.],[2.],0.0,[400.],[5],[5],[0.50041818],[0.00521469],767871931.0,0.03740625241642639,[12.00924896],[0.20603015],4,unexplained,0
2.0,0.0,0.06594340459773299,[0.20580784],['RS'],0.08215568225406904,['L56'],[0.10376604],0.0,[0.68096634],0.01606121721903562,[90.],[2.],0.16666666666666666,[1100.],[1],[2],[0.65740741],[0.10689538],767871931.0,0.0,[1.86929073],[0.65929648],7,unexplained,0
3.0,0.0,0.07398286592537232,[0.03894902],['RS'],0.173073795873098,['L56'],[0.17886262],0.0,[0.55004837],0.03939662631129044,[45.],[2.],0.16666666666666666,[1100.],[4],[1],[0.35256971],[0.0786236],767871931.0,0.06872833186398694,[1.62337381],[0.92026801],4,unexplained,0
5.0,0.0,0.020895596679005802,[0.12879608],['RS'],0.12710985228773336,['L56'],[0.18574922],0.3333333333333333,[1.10877954],0.028660948208228156,[135.],[2.],0.16666666666666666,[1900.],[3],[2],[0.03658537],[0.6360994],767871931.0,0.13085640844828467,[3.00747437],[0.81038526],5,stimulus1,1
6.0,0.027880214556694538,0.0312500938701592,[0.61225882],['RS'],0.10481935676441143,['L56'],[0.08005491],0.0,[1.08895658],0.047282999388343815,[90.],[2.],0.16666666666666666,[700.],[4],[5],[-0.06351615],[0.69271539],767871931.0,0.012606777836116323,[5.13385549],[0.78291457],2,unexplained,0
7.0,0.0,0.03288704421121833,[0.21436471],['RS'],0.07391669294753196,['L56'],[0.26470845],0.0,[0.51533533],0.021457123579399617,[45.],[2.],0.16666666666666666,[300.],[1],[2],[0.68219178],[2.26767885e-11],767871931.0,0.043504884539746234,[5.35410364],[0.81038526],7,unexplained,0
26.0,0.0,0.05646329206137775,[0.19725098],['RS'],0.19075584588658936,['L56'],[0.2238083],0.0,[1.78294595],0.020132808859870656,[45.],[2.],0.16666666666666666,[700.],[3],[4],[0.11692713],[0.48809741],767871931.0,0.2261880288281856,[2.89251853],[0.6318258],8,stimulus2,1
29.0,0.01749418479077889,0.07869319495704112,[1.04865882],['RS'],0.06998461043303736,['L56'],[0.41649132],0.0,[1.16463947],0.025611610202340596,[90.],[2.],0.16666666666666666,[800.],[5],[2],[-0.97626374],[4.21114789e-10],767871931.0,0.014453157498042657,[3.01079622],[0.6318258],2,unexplained,0
30.0,0.0,0.11743906221429515,[0.13307451],['RS'],0.06763316863043294,['L56'],[0.64827259],0.0,[0.53938141],0.0,[0.],[2.],0.16666666666666666,[700.],[3],[3],[0.13615689],[0.00053863],767871931.0,0.012159219381096343,[4.9319278],[0.70050251],6,behavior,1
34.0,0.0,0.0067510127942610465,[0.50529804],['RS'],0.08029858145274146,['L56'],[0.69211701],0.0,[1.62500006],0.0,[45.],[2.],0.16666666666666666,[500.],[4],[1],[0.36226719],[2.38744788e-13],767871931.0,0.056072342662949116,[3.35304654],[0.67303183],9,unexplained,0
35.0,0.0,0.05504519511193986,[0.03467059],['FS'],0.12177430270514011,['L56'],[0.38740516],0.0,[0.03967693],0.02586407965251849,[90.],[2.],0.16666666666666666,[500.],[2],[2],[0.10291902],[0.10404052],767871931.0,0.06947316728581468,[5.96129598],[0.21976549],4,unexplained,0
36.0,0.0,0.07272716046916623,[0.18869412],['RS'],0.039609415031217156,['L56'],[0.29478637],0.0,[0.52459457],0.013916522200944526,[135.],[2.],0.16666666666666666,[500.],[3],[4],[0.27412646],[4.03701692e-09],767871931.0,0.011876003422865322,[4.8643837],[0.67303183],7,unexplained,0
50.0,0.0,0.0646940242433931,[0.03039216],['RS'],0.023235431319560917,['L56'],[0.3918085],0.0,[1.04973954],0.0,[45.],[2.],0.16666666666666666,[900.],[3],[2],[0.25356522],[0.32866177],767871931.0,0.08983952749618185,[4.33872747],[0.71423786],7,unexplained,0
52.0,0.0,0.005718407194419383,[0.07317647],['RS'],0.019247463065741433,['L56'],[0.25751704],0.0,[1.69352153],0.0,[90.],[2.],0.16666666666666666,[600.],[4],[2],[-0.32239705],[0.10339688],767871931.0,0.020831418157693647,[2.4645043],[0.64556114],9,unexplained,0
53.0,0.0,0.0461018069842658,[0.14163137],['RS'],0.16321041738567577,['L56'],[0.13626714],0.3333333333333333,[0.08166941],0.0,[45.],[2.],0.16666666666666666,[1100.],[3],[6],[0.46815953],[3.5219413e-10],767871931.0,0.2366025494189535,[2.45061297],[0.79664992],8,stimulus2,1
