unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,state,stimulus,total_rate,wf_duration,label,n_sources,cluster_name
53.0,0.0,0.05280076891795664,[0.10312549],['RS'],0.05585422434985998,['L56'],[0.04555463],0.0,[2.07443269],0.00589320670852238,[135.],[2.],0.0,[500.],[2],[5],[0.21305816],[5.43355024e-07],767871931.0,0.005750494768634584,0.10053587449527641,[7.80601686],[0.61809045],8,1,stimulus2
57.0,0.0,0.025364218350885225,[0.05606275],['RS'],0.0,['L56'],[0.13652984],0.0,[0.85673354],0.0,[135.],[2.],0.0,[400.],[5],[5],[0.3379694],[4.87189124e-05],767871931.0,0.0004541977941611153,0.12564463739670845,[7.23858656],[0.64556114],8,1,stimulus2
58.0,0.0,0.08059485790155793,[0.23147843],['RS'],0.0,['L56'],[0.04670208],0.0,[2.88242342],0.021889639380787074,[135.],[2.],0.0,[500.],[5],[5],[0.29349364],[7.66357836e-10],767871931.0,0.008672720936797074,0.13270697477165916,[7.07168938],[0.60435511],8,1,stimulus2
59.0,0.016290537042282827,0.03300892094938381,[0.13307451],['RS'],0.061257054809948766,['L56'],[0.07520843],0.0,[0.23290368],0.023967975603734093,[0.],[2.],0.0,[500.],[4],[5],[0.3666466],[1.50813704e-06],767871931.0,0.002765064997169486,0.04532820769435879,[1.93814137],[0.67303183],1,0,unexplained
60.0,0.0,0.1049841834107013,[0.25714902],['RS'],0.0,['L56'],[0.1119783],0.0,[0.7034974],0.0,[0.],[2.],0.0,[1700.],[6],[1],[0.18709553],[0.00313727],767871931.0,0.002815052212696223,0.07215962213127125,[10.10442664],[0.59061977],5,1,behavior
61.0,0.018261038138233366,0.10185509060916091,[0.60370196],['RS'],0.12067794195234038,['L56'],[0.15778554],0.0,[0.07920679],0.09990388105373516,[45.],[2.],0.0,[300.],[5],[5],[-0.40252874],[0.00496247],767871931.0,0.013893713205306657,0.10553025321675247,[6.24666566],[0.60435511],3,2,stimulus+behavior
62.0,0.0,0.08377912077827657,[0.15446667],['RS'],0.07507047233236128,['L56'],[0.12263549],0.0,[4.2817297],0.06759241237735139,[90.],[2.],0.0,[600.],[2],[4],[0.15604801],[0.00088837],767871931.0,0.012272977642537564,0.13912324530341993,[7.32726957],[0.56314908],8,1,stimulus2
66.0,0.0,0.05343447383189517,[0.42400784],['FS'],0.0,['L56'],[0.03064311],0.0,[7.02969456],0.01251575724363727,[90.],[2.],0.0,[800.],[5],[5],[0.32642212],[2.94575207e-09],767871931.0,0.0008832757506411548,0.07116044294004782,[8.4796453],[0.23350084],1,0,unexplained
67.0,0.03428049003719928,0.23484728032303098,[0.25714902],['RS'],0.19215356674131337,['L56'],[0.04639475],0.0,[0.5476085],0.18964787068307276,[0.],[2.],0.0,[1100.],[4],[2],[-0.29065186],[0.0006324],767871931.0,0.03689571974829438,0.23268027364778213,[10.32064808],[0.52194305],6,3,multi-source2
71.0,0.0,0.019444521182981366,[0.12879608],['RS'],0.17166518734551947,['L56'],[0.12970056],0.0,[0.41269232],0.019142608636339143,[45.],[2.],0.0,[600.],[4],[3],[0.60898084],[8.02648327e-11],767871931.0,-0.00012690583656211897,0.15973164265148657,[2.83594353],[0.64556114],8,1,stimulus2
72.0,0.04713444482646365,0.12180094352096686,[0.20152941],['RS'],0.23202599278871433,['L56'],[0.01379716],0.0,[6.69278211],0.11270532818008479,[90.],[2.],0.0,[800.],[4],[4],[0.03974221],[0.37001759],767871931.0,0.020934429240155317,0.18898254679242085,[4.81998666],[0.61809045],6,3,multi-source2
73.0,0.030997154195147238,0.16973213902190626,[0.0774549],['RS'],0.2709130082942626,['L56'],[0.08408998],0.0,[4.25420176],0.23173750422095424,[45.],[2.],0.0,[800.],[4],[4],[0.38162544],[1.3548612e-05],767871931.0,0.02031970258476614,0.17859534669002575,[5.39134276],[0.61809045],6,3,multi-source2
