unit,area LFPs,behavior,c50_dg,cell_type,full model,layer,lifetime_sparseness_dg,max_state,mod_idx_dg,"other area
population activity",pref_ori_dg,pref_tf_dg,probe,rf_area,rf_x,rf_y,run_mod_dg,run_pval_dg,session,stimulus,total_rate,wf_duration,label,cluster_name,n_sources
114.0,0.0,0.18168832033715143,[0.41972941],['FS'],0.18917798121016577,['L4'],[0.4005757],0.0,[7.34176763],0.17740545975762814,[135.],[2.],0.0,[600.],[4],[4],[0.34174047],[0.02917041],767871931.0,0.10465917724092315,[18.26014242],[0.21976549],5,multisource1,3
115.0,0.0,0.011635188234417582,[0.02183529],['RS'],0.059579895713105666,['L4'],[0.10873916],0.6666666666666666,[5.31166705],0.0055690137977410185,[45.],[2.],0.0,[400.],[4],[3],[-0.13352575],[0.35704323],767871931.0,0.03572730928178129,[1.68688963],[0.61809045],2,unexplained,0
116.0,0.0,0.013214462948263294,[0.03039216],['RS'],0.1948141992518652,['L4'],[0.04762513],0.0,[8.44593546],0.02526115979637349,[135.],[2.],0.0,[600.],[3],[4],[-0.18819188],[0.22350546],767871931.0,0.1947801915699808,[1.67289765],[0.53567839],9,stimulus1,1
117.0,0.0,0.030782747366836928,[0.01755686],['RS'],0.10757997968643658,['L4'],[0.28648617],0.6666666666666666,[4.23974469],0.03897461457287861,[90.],[2.],0.0,[600.],[4],[5],[0.16165587],[0.2276736],767871931.0,0.04088922213023123,[1.91186865],[0.60435511],2,unexplained,0
128.0,0.0,0.01226719195837822,[0.06461961],['FS'],0.1521871580368156,['L4'],[0.221958],0.0,[0.17968629],0.0661153224947952,[0.],[2.],0.0,[600.],[4],[4],[0.74162799],[2.62329503e-15],767871931.0,0.1908368109434247,[7.53765263],[0.23350084],11,stimulus1,1
129.0,0.0,0.01562179926204763,[0.41117255],['FS'],0.13550854224893466,['L4'],[0.18299459],0.0,[7.24154482],0.06248009508628512,[45.],[2.],0.0,[300.],[4],[4],[0.32347638],[0.14408758],767871931.0,0.1314674751076515,[6.19140236],[0.23350084],11,stimulus1,1
130.0,0.0,0.044954562363453895,[0.37266667],['FS'],0.14860772155169819,['L4'],[0.10668694],0.0,[5.52353549],0.08728749037729255,[0.],[2.],0.0,[400.],[4],[5],[-0.19518763],[0.067543],767871931.0,0.15502843468662542,[13.13052021],[0.23350084],11,stimulus1,1
134.0,0.0,0.010371386022492834,[0.09884706],['RS'],0.19602301305205483,['L4'],[0.00876717],0.0,[0.44935477],0.03050442307496424,[45.],[2.],0.0,[400.],[4],[4],[0.31068766],[0.00017291],767871931.0,0.1725043562458376,[1.10546736],[0.54941374],9,stimulus1,1
135.0,0.0,0.038461809526976774,[0.17585882],['RS'],0.13783101156288008,['L4'],[0.01342409],0.0,[4.52526861],0.08305095506308416,[45.],[2.],0.0,[400.],[4],[3],[0.1564353],[0.06378836],767871931.0,0.04886124682801716,[5.60565163],[0.43953099],1,unexplained,0
142.0,0.0,0.0,[0.0902902],['RS'],0.16048405283233447,['L4'],[0.27423308],0.0,[6.73602973],0.01405276831819069,[45.],[2.],0.0,[300.],[4],[3],[0.23377492],[0.00627523],767871931.0,0.12241587602171777,[1.58743582],[0.56314908],9,stimulus1,1
143.0,0.0,0.02082041716046217,[0.06461961],['FS'],0.3963207336728702,['L4'],[0.65035656],0.0,[3.77896683],0.24551346426988854,[135.],[2.],0.0,[400.],[4],[4],[0.71007785],[9.87398137e-14],767871931.0,0.3858001352749275,[11.37820044],[0.21976549],8,stimulus+population,2
144.0,0.0,0.011602075877909823,[0.02183529],['RS'],0.1821318465198411,['L4'],[0.50480585],0.0,[9.38598202],0.024154480504341568,[45.],[2.],0.0,[400.],[4],[5],[0.33448342],[2.55903559e-05],767871931.0,0.2155155770883459,[1.92716924],[0.56314908],11,stimulus1,1
146.0,0.01877644914335863,0.020494693154943212,[0.04750588],['RS'],0.37097610022644567,['L4'],[0.00544535],0.3333333333333333,[0.57796927],0.07666409493497706,[135.],[2.],0.0,[400.],[4],[5],[-0.03806971],[0.56821563],767871931.0,0.40714548067164386,[1.5811948],[0.60435511],4,stimulus2,1
150.0,0.0,0.03279306779089284,[0.13735294],['FS'],0.17231704134478656,['L23'],[0.28353754],0.0,[0.21713139],0.07323224807705933,[90.],[2.],0.0,[400.],[4],[4],[0.39252712],[2.48195838e-08],767871931.0,0.11721441792647216,[2.21969229],[0.38458961],11,stimulus1,1
162.0,0.0,0.05240052119853469,[nan],['FS'],0.11438951181302563,['L23'],[0.45351862],0.0,[4.58439509],0.062208859627230106,[135.],[2.],0.0,[300.],[4],[5],[0.40909091],[0.00697274],767871931.0,0.03744912406156675,[7.11396732],[0.30217755],1,unexplained,0
